NUM,ID,Requirement,Definition,MinimumModel,Rewrite 1,Parent,Type,Use example,Problems,Cataloguing,EARSdesc,Reason
1,A.1,Instrument Integration,"Functionality that creates, edits and deletes a sensor.",FALSE,"The system must provide a functionality that creates, edits and deletes a sensor.",A.4,Ubiquitous,Use of catalogue to register sensors,,Implicit,"Instrument Integration: The system must provide sensor catalogue management functions for sensor registration. The basic management functions to include are: create, retrieve, update, and delete.",clarify target of requirement and its relation to the system
2,A.2,Instrument Configuration,Functionality that sets-up a sensor or a sensor network.,FALSE,The system must provide functions to manage a sensor and/or sensor networks.,A.4,NA,,"Unclear what set up a sensor network means. 
Does this imply manual activities?",Depends on,Instrument Configuration: The system must provide sensor catalogue management functions to identify individual sensors in terms of location and inter-connection. This includes the data that describes the organisation of sensor networks.,clarify target of requirement and its relation to the system
3,A.3,Instrument Calibration,Functionality that controls and records the process of aligning or testing a sensor against dependable standards or specified verification processes.,FALSE,The system must provide a functions to manage the process of aligning or testing a sensor against dependable standards or specified verification processes.,A.4,Ubiquitous,,vague description of standards and verification processes,Depends on,Instrument Calibration: The system must provide a functionality that controls and records the process of aligning or testing a sensor against dependable standards or specified verification processes.,
4,A.4,Instrument Access,Functionality that reads and/or updates the state of a sensor.,FALSE,The system must provide a functionality to read and/or update the state of a working sensor.,A.9,Ubiquitous,,"What does state include? 
Functioning, current reading, or what else?
Included in A.1",Depends on,Instrument Access: The system must provide a functionality that reads and/or updates the state of a sensor.,
5,A.5,Configuration Logging,Functionality that collects configuration information or (run-time) messages from a sensor (or a sensor network) and outputs into log files or specified media which can be used by routine troubleshooting and in incident handling.,FALSE,The system must provide functions to collect configuration information or (run-time) messages from a sensor (or a sensor network) and outputs into log files or specified media which can be used by routine troubleshooting and in incident handling.,A,Ubiquitous,,"ambiguous definition of outputs, condition for triggering output collection (time based or event based)
Reletated to Provenance",Yes,Configuration Logging: The system must provide a functionality that collects configuration information or (run-time) messages from a sensor (or a sensor network) and outputs into log files or specified media which can be used by routine troubleshooting and in incident handling.,
6,A.6,Instrument Monitoring,Functionality that checks the state of a sensor or a sensor network which can be done periodically or when triggered by events.,FALSE,The system must provide a functionality that checks the state of a sensor or a sensor network which can be done periodically or when triggered by events.,A.4,Ubiquitous,,Similar to A.4,Depends on,Instrument Monitoring: The system must provide a functionality that checks the state of a sensor or a sensor network which can be done periodically or when triggered by events.,
7,A.7,Parameter/Data Visualisation,Functionality that outputs the values of parameters and measured variables a display device.,FALSE,The system must provide functions to communicate with a sensor to collect and render the values of parameters and measured variables to a display device.,A,Ubiquitous,,,Depends on,Parameter/Data Visualisation: The system must provide functions to communicate with a sensor to collect and render the values of parameters and measured variables to a display device.,
8,A.8,Real-Time Parameter/Data Visualisation,Specialisation of (Parameter) Visualisation which is subject to a real-time constraint.,FALSE,The system must provide functions to communicate with a sensor to collect and render the values of parameters and measured variables to a display device during operation time (real time).,A.7,Ubiquitous,,,Depends on,Real-Time Parameter/Data Visualisation: The system must provide functions to communicate with a sensor to collect and render the values of parameters and measured variables to a display device during operation time (real time).,
9,A.9,Process Control,"Functionality that receives input status, applies a set of logic statements or control algorithms, and generates a set of analogue/digital outputs to change the logic states of devices.  ",TRUE,"When the input state indicates the need for correction, the system must generate a corresponding response to change the logic states of devices.  ",A,Event driven,,What are the specific states that indicate need for correction? Fault? Readigns outside a range? Deviation of course?,Depends on,"Process Control: When the input state indicates the need for correction, the system must generate a corresponding response to change the logic states of devices.  ",
10,A.10,Data Collection,"Functionality that obtains digital values from a sensor instrument, associating consistent timestamps and necessary metadata.",TRUE,"The system must provide a function to communicate with the sensor to collect readings, and associate them with corresponding timestamps and necessary metadata.",A,Ubiquitous,,,Yes,"Data Collection: The system must provide a function to communicate with the sensor to collect readings, and associate them with corresponding metadata (e.g. location, timestamps, etc.).",
