ID,Source,Description,SourceDocP,type,DLC,ENVRIReqID,Keyword,Interpretation,ENVRI concern,Action,Comment,consider
1,ACTRIS,"to improve their interoperability so as to make their data as accessible and understandable as possible to others, ",30,generic,Publishing,C.13,,,TRUE,,Should be already included in their documentation,
2,ACTRIS,"to link with others RIs, because there are many points in common (technologically and scientifically), and",30,generic,Publishing,C.13,Link,requires semantic harmonisation of data,TRUE,Add to minimal model,Integration/Interoperability is achieved through semantic harmonisation,
3,ACTRIS,"planning and managing the activity of sensors, ",30,generic,Acquisition,A.2,,,TRUE,,,
4,ACTRIS,"developing understanding of how instruments work in extreme conditions, and",30,generic,Acquisition,A.3,,,TRUE,,,
5,ACTRIS,improving the capabilities of small sensors,30,generic,Acquisition,A.6,,,TRUE,,,
6,ACTRIS,Semantic Interoperability,30,generic,Publishing,C.13,,requires semantic harmonisation of data,TRUE,Add to minimal model,Integration/Interoperability is achieved through semantic harmonisation,
7,AnaEE,Identification,30,generic,Curation,B.3,,,TRUE,,,
8,AnaEE,Citation,30,generic,Publishing,C.12,,,TRUE,refine,"refine the way in which citation is supported, provide citation standard, provide citation tracking methods",
9,AnaEE,cataloguing,30,generic,Curation,B.4,,,TRUE,,,
10,AnaEE,it would be useful to synchronise their approach with other Ris,30,generic,Publishing,C.13,synchronise,Harmonisation,TRUE,refine,already covered by RM,
11,AnaEE,the interoperability between models and data,30,generic,Publishing,C.13,Interoperability,requires semantic harmonisation of data,TRUE,Add to minimal model,Integration/Interoperability is achieved through semantic harmonisation,
12,AnaEE,the quality control of data produced by platforms,30,generic,Curation,B.1,,,TRUE,,,
13,AnaEE,the quality control of data produced by platforms,30,generic,Curation,B.2,,,TRUE,Add to minimal model,"Verification complements QA, should be in the minimal model",
14,EISCAT-3D,"ensure that the tools that they select are well documented and open, in order to minimise the risk of lock in to proprietary systems",31,generic,,,open standards,,,,,
15,EISCAT-3D,define workflows for data,31,generic,Curation,B.7,,,TRUE,add to minimal model,required for optimisation of data processing,
16,EISCAT-3D,define workflows for data,31,generic,Processing,D.6,,,TRUE,,,
17,EISCAT-3D,ensure interoperability with other RIs and instruments via virtual observatories,31,generic,Publishing,C.13,,requires semantic harmonisation of data,TRUE,Add to minimal model,Integration/Interoperability is achieved through semantic harmonisation,
18,ELIXIR,establish a closer collaboration with environmental Research Infrastructures (RIs) and improve their access to life science data,31,generic,Publishing,C.13,,Harmonisation,TRUE,refine,already covered by RM,
